rule_chain,node_name,node_type,status,output_field,source_fields,source_params,tinyexpr,tinyexpr_suggested,multi_output_sibling_fields,reason,original_code
AlarmasBrocal,Condicion Alertas Piezometro,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","if (msg.ALT==""Seco""){
    return ['normal'];
}
else{
    
    var alt = !isNaN(parseFloat(msg.ALT)) ? parseFloat(msg.ALT) : 'none';
    var nivel_alerta=metadata.shared_nivel_alerta
    var nivel_peligro=metadata.shared_nivel_peligro

    if(alt < nivel_alerta) {
        return ['normal'];
    }
    if(alt >= nivel_alerta && alt <= nivel_peligro) {
        return ['alerta'];
    }
    if(alt > nivel_peligro) {
        return ['peligro'];
    }


    
}"
AlarmasBrocal,Corrige,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"/*var ALT_anterior = metadata.ALT;
var ALT = 88383;

var diferencia = ALT - parseFloat(ALT_anterior.replace(/""/g, """"));

msg.diferencia = diferencia;
return {msg: msg, metadata: metadata, msgType: msgType};
*/

//var ALT_diario =  parseFloat(metadata.ALT.replace(/""/g, """"));
var newMsg={}
var altData = JSON.parse(metadata.ALT);

// Extraer el valor numérico
var valorAnterior = altData[0].value;

newMsg.ALT_diario=valorAnterior

return {msg: newMsg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Envia solo la hora actual,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBrocal,Envia solo la hora actual,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBrocal,Fecha,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var fechaUTC = new Date(parseFloat(metadata.ts));

// Restar 5 horas (UTC -5)
var fechaCorrigida = new Date(fechaUTC.getTime() - 5 * 60 * 60 * 1000);

// Extraer los componentes
var dia = fechaCorrigida.getDate();
var mes = fechaCorrigida.getMonth() + 1; // Enero = 0
var anio = fechaCorrigida.getFullYear();
var hora = fechaCorrigida.getHours();
var minuto = fechaCorrigida.getMinutes();
var segundo = fechaCorrigida.getSeconds();

// Agregar ceros a la izquierda si es necesario
if (dia < 10) dia = '0' + dia;
if (mes < 10) mes = '0' + mes;
if (hora < 10) hora = '0' + hora;
if (minuto < 10) minuto = '0' + minuto;
if (segundo < 10) segundo = '0' + segundo;

// Unir todo en formato español
var fechaTexto = dia + '/' + mes + '/' + anio + ' ' + hora + ':' + minuto + ':' + segundo;
metadata.valor2=fechaTexto
metadata.valor1 = metadata.deviceName;
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Fecha,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var fechaUTC = new Date(parseFloat(metadata.ts));


var fechaCorrigida = new Date(fechaUTC.getTime()-5*60*60*1000);

// Extraer los componentes
var dia = fechaCorrigida.getDate();
var mes = fechaCorrigida.getMonth() + 1; // Enero = 0
var anio = fechaCorrigida.getFullYear();
var hora = fechaCorrigida.getHours();
var minuto = fechaCorrigida.getMinutes();
var segundo = fechaCorrigida.getSeconds();

// Agregar ceros a la izquierda si es necesario
if (dia < 10) dia = '0' + dia;
if (mes < 10) mes = '0' + mes;
if (hora < 10) hora = '0' + hora;
if (minuto < 10) minuto = '0' + minuto;
if (segundo < 10) segundo = '0' + segundo;

// Unir todo en formato español
var fechaTexto = dia + '/' + mes + '/' + anio + ' ' + hora + ':' + minuto + ':' + segundo;
metadata.valor2=fechaTexto
metadata.valor1 = metadata.deviceName;
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var alt = !isNaN(parseFloat(msg.ALT)) ? parseFloat(msg.ALT) : 'none';

metadata.valor2 = new Date(parseFloat(metadata.ts)).toLocaleString('es-PE');
metadata.valor3 = ""Nivel Piezométrico - Nivel Peligro | Piezómetro"";
metadata.valor4 = ""Retirar el personal y equipos del area. Actuar segun el manual de mantenimiento y el plan de contigencia"";
metadata.valor5 = parseFloat(alt);
metadata.valor6 = 'Cota de Nivel Piezometrico';
metadata.valor7 = ""m.s.n.m"";
metadata.valor8 = ""Peligro"";
msg.nivelAlarma=""Peligro"";

return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,nivelAlarma,,,,,,"la expresión asignada a msg.nivelAlarma contiene '""' -- no es aritmética pura traducible a tinyexpr","var mag_evento =msg.mag_evento
var distancia_epicentro =msg.distancia_epicentro
metadata.valor3 = ""Nivel Alerta | Acelerografo""; //Titulo del correo
metadata.valor4 = ""Plan de monitoreo mensual"";
metadata.valor5 = parseFloat(mag_evento);
msg.nivelAlarma=""Alerta"";
metadata.valor6 = distancia_epicentro;
metadata.valor7 = """";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,nivelAlarma,,,,,,"la expresión asignada a msg.nivelAlarma contiene '""' -- no es aritmética pura traducible a tinyexpr","var mag_evento =msg.mag_evento
var distancia_epicentro =msg.distancia_epicentro
metadata.valor3 = ""Nivel Normal | Acelerografo""; //Titulo del correo
metadata.valor4 = ""Plan de monitoreo trimestral"";
metadata.valor5 = parseFloat(mag_evento);
msg.nivelAlarma=""Normal"";
metadata.valor6 = distancia_epicentro;
metadata.valor7 = """";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,nivelAlarma,,,,,,"la expresión asignada a msg.nivelAlarma contiene '""' -- no es aritmética pura traducible a tinyexpr","var mag_evento =msg.mag_evento
var distancia_epicentro =msg.distancia_epicentro
metadata.valor3 = ""Nivel Peligro | Acelerografo""; //Titulo del correo
metadata.valor4 = ""Plan de monitoreo semanal"";
metadata.valor5 = parseFloat(mag_evento);
msg.nivelAlarma=""Peligro"";
metadata.valor6 = distancia_epicentro;
metadata.valor7 = """";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var alt = !isNaN(parseFloat(msg.ALT)) ? parseFloat(msg.ALT) : 'none';

metadata.valor2 = new Date(parseFloat(metadata.ts)).toLocaleDateString('es-PE');
metadata.valor3 = ""Nivel Piezométrico - Nivel Normal | Piezómetro"";
metadata.valor4 = ""El monitoreo se realiza segun el manual de matenimiento"";
metadata.valor5 = parseFloat(alt);
metadata.valor6 = 'Cota de Nivel Piezometrico';
metadata.valor7 = ""m.s.n.m"";
metadata.valor8 = ""Normal"";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var alt = !isNaN(parseFloat(msg.ALT)) ? parseFloat(msg.ALT) : 'none';
metadata.valor1 = metadata.deviceName;
metadata.valor3 = ""Nivel Piezométrico - Nivel Alerta | Piezómetro"";
metadata.valor4 = ""Inspeccion y monitoreo mas frecuente"";
metadata.valor5 = parseFloat(alt);
msg.nivelAlarma=""Alerta"";
metadata.valor6 = 'Cota de Nivel Piezometrico';
metadata.valor7 = ""m.s.n.m"";
metadata.valor8 = ""Alerta"";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Tipo de dispositivo,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var tipo=metadata.deviceType

if(tipo==""piezometer_equation""){
    return ['piezometro'];
}
if(tipo==""piezometer""){
    return ['piezometro'];
}

if(tipo==""accelerograph"") {
    return ['accelerograph'];
}"
AlarmasBrocal,fechas,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"// Obtener la fecha actual
var ahora = new Date();

// Calcular el inicio del día (00:00:00)
var inicioDia = new Date(ahora.getFullYear(), ahora.getMonth(), ahora.getDate());

// Asignar timestamps en milisegundos
metadata.sinceTs = inicioDia.getTime();     // Desde las 00:00 de hoy
metadata.untilTs = ahora.getTime();         // Hasta ahora

return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,Condicion Alertas Celdas,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var Vel=msg.Velocidad_diaria;

var nivel_alerta=metadata.shared_nivel_alerta;
var nivel_peligro=metadata.shared_nivel_peligro;

    if(Vel < nivel_alerta) {
        return ['normal'];
    }
    if(Vel >= nivel_alerta && Vel <= nivel_peligro) {
        return ['alerta'];
    }
    if(Vel > nivel_peligro) {
        return ['peligro'];
    }"
AlarmasCeldasBrocal,Corrige,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"/*var ALT_anterior = metadata.ALT;
var ALT = 88383;

var diferencia = ALT - parseFloat(ALT_anterior.replace(/""/g, """"));

msg.diferencia = diferencia;
return {msg: msg, metadata: metadata, msgType: msgType};
*/

//var ALT_diario =  parseFloat(metadata.ALT.replace(/""/g, """"));
var newMsg={}
var altData = JSON.parse(metadata.ALT);

// Extraer el valor numérico
var valorAnterior = altData[0].value;

newMsg.ALT_diario=valorAnterior

return {msg: newMsg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,Envia solo la hora actual,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasCeldasBrocal,Fecha,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var fechaUTC = new Date(parseFloat(metadata.ts));

// Restar 5 horas (UTC -5)
var fechaCorrigida = new Date(fechaUTC.getTime() - 5 * 60 * 60 * 1000);

// Extraer los componentes
var dia = fechaCorrigida.getDate();
var mes = fechaCorrigida.getMonth() + 1; // Enero = 0
var anio = fechaCorrigida.getFullYear();
var hora = fechaCorrigida.getHours();
var minuto = fechaCorrigida.getMinutes();
var segundo = fechaCorrigida.getSeconds();

// Agregar ceros a la izquierda si es necesario
if (dia < 10) dia = '0' + dia;
if (mes < 10) mes = '0' + mes;
if (hora < 10) hora = '0' + hora;
if (minuto < 10) minuto = '0' + minuto;
if (segundo < 10) segundo = '0' + segundo;

// Unir todo en formato español
var fechaTexto = dia + '/' + mes + '/' + anio + ' ' + hora + ':' + minuto + ':' + segundo;
metadata.valor2=fechaTexto
metadata.valor1 = metadata.deviceName;
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"var diferencia_alt=msg.Velocidad;
metadata.valor1 = metadata.deviceName;
metadata.valor2 = new Date(parseFloat(metadata.ts)).toLocaleDateString('es-PE');
metadata.valor3 = 'Velocidad - Nivel Normal| Celda Asentamiento';
metadata.valor4 = ""El monitoreo se realiza segun el manual de matenimiento"";
metadata.valor5 = parseFloat(diferencia_alt);
metadata.valor6 = ""Velocidad"";
metadata.valor7 = ""cm/mes"";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,nivelAlarma,,,,,,"la expresión asignada a msg.nivelAlarma contiene '""' -- no es aritmética pura traducible a tinyexpr","var Vel=msg.Velocidad;

metadata.valor3 = ""Velocidad - Nivel Peligro | Celda Asentamiento"";
metadata.valor4 = ""Retirar el personal y equipos del area. Actuar segun el manual de mantenimiento y el plan de contigencia"";
metadata.valor5 = Vel;
msg.nivelAlarma=""Peligro"";
metadata.valor6 = ""Velocidad"";
metadata.valor7 = ""cm/mes"";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,Generate new data,TbTransformMsgNode,needs_manual_review,nivelAlarma,,,,,,"la expresión asignada a msg.nivelAlarma contiene '""' -- no es aritmética pura traducible a tinyexpr","var Vel=msg.Velocidad_diaria;
metadata.valor3 = ""Velocidad - Nivel Alerta | Celda Asentamiento"";
metadata.valor4 = ""Inspeccion y monitoreo mas frecuente"";
metadata.valor5 = parseFloat(Vel);
msg.nivelAlarma=""Alerta"";
metadata.valor6 = ""Velocidad"";
metadata.valor7 = ""cm/mes"";
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasCeldasBrocal,fechas,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"// Obtener la fecha actual
var ahora = new Date();

// Calcular el inicio del día (00:00:00)
var inicioDia = new Date(ahora.getFullYear(), ahora.getMonth(), ahora.getDate());

// Asignar timestamps en milisegundos
metadata.sinceTs = inicioDia.getTime();     // Desde las 00:00 de hoy
metadata.untilTs = ahora.getTime();         // Hasta ahora

return {msg: msg, metadata: metadata, msgType: msgType};"
Anexos,Data exists?,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","if (Object.keys(msg).length !== 0) {
    return ['DataFound'];
}
return ['DataNotFound'];"
Anexos,Generate new timeseries,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"var newMsg = {};
newMsg.anexo1 = metadata.shared_anexo1;
newMsg.anexo2 = metadata.shared_anexo2;
newMsg.anexo3 = metadata.shared_anexo3;
return {msg: newMsg, metadata: metadata, msgType: msgType};"
Anexos,Generate new timeseries,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var newMsg = {};
var anexos = metadata.shared_anexos;
var anexo1 = JSON.parse(anexos)['anexo1']['value'];
anexo1 = parseFloat(anexo1);
// Si es numérico y diferente de cero, entonces guarda.
if (!isNaN(anexo1) && anexo1 !== 0) {
    newMsg.anexo1 = anexo1;
}
return {msg: newMsg, metadata: metadata, msgType: msgType};"
Anexos,Generate new timeseries #2,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"var newMsg = {};
newMsg.anexo4 = metadata.shared_anexo4;
newMsg.anexo5 = metadata.shared_anexo5;
newMsg.anexo6 = metadata.shared_anexo6;
newMsg.anexo7 = metadata.shared_anexo7;
return {msg: newMsg, metadata: metadata, msgType: msgType};"
Anexos,Is Settlement Cell?,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","function nextRelation(metadata, msg) {
    return ['one','nine'];
}
if(msgType === 'POST_TELEMETRY_REQUEST') {
    return ['two'];
}
return nextRelation(metadata, msg);"
Anexos,What company is?,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var device = metadata.deviceName;
if (device.startsWith('ST')) {
    return ['ST'];
} else if (device.startsWith('AT')) {
    return ['AT'];
} else if (device.startsWith('CJ')) {
    return ['CJ'];
}"
Asentamiento Acumulado,Device Type,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","if(metadata.ss_type==='settlement-cell' || metadata.ss_type==='settlement-cell-dp'){
    return true;
} else {
    return false;
}"
Asentamiento Acumulado,Filter Device,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","return metadata.deviceName==""MC.VB-1"" || metadata.deviceName==""MC.VB-2"" || metadata.deviceName==""MC.VB-3"" || metadata.deviceName==""MC.VB-4"" || metadata.deviceName==""MC.VB-5"" || metadata.deviceName==""MC.VB-1'"" || metadata.deviceName==""MC.VB-2'"" || metadata.deviceName==""MC.VB-3'"" || metadata.deviceName==""MC.VB-4'"" || metadata.deviceName==""MC.VB-5'"" || metadata.deviceName==""MC.SA-1"" || metadata.deviceName==""MC.SA-2"" || metadata.deviceName==""MC.SA-3"" || metadata.deviceName==""MC.SA-5"" || metadata.deviceName==""MC.SA-6"" || metadata.deviceName==""MC.SA-7"" || metadata.deviceName==""MC.VB2-1A"" || metadata.deviceName==""MC.VB2-1B"" || metadata.deviceName==""MC.VB2-2A"" || metadata.deviceName==""MC.VB2-2B"" || metadata.deviceName==""MC.VB2-3A"" || metadata.deviceName==""MC.VB2-3B"" || metadata.deviceName==""MC.VB2-4A"" || metadata.deviceName==""MC.VB2-4B"" || metadata.deviceName==""MC.VB2-5A"" || metadata.deviceName==""MC.VB2-5B"" || metadata.deviceName==""MC.SA2-1""  || metadata.deviceName==""MC.SA2-2"" || metadata.deviceName==""MC.SA2-3"" || metadata.deviceName==""MC.SA2-4"" || metadata.deviceName==""MC.SA2-5"";"
