rule_chain,node_name,node_type,category,proposed_rules,reason,original_code
Anexos,Data exists?,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (Object.keys(msg).length !== 0) {
    return ['DataFound'];
}
return ['DataNotFound'];"
Anexos,Is Settlement Cell?,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","function nextRelation(metadata, msg) {
    return ['one','nine'];
}
if(msgType === 'POST_TELEMETRY_REQUEST') {
    return ['two'];
}
return nextRelation(metadata, msg);"
Anexos,What company is?,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var device = metadata.deviceName;
if (device.startsWith('ST')) {
    return ['ST'];
} else if (device.startsWith('AT')) {
    return ['AT'];
} else if (device.startsWith('CJ')) {
    return ['CJ'];
}"
Asentamiento Acumulado,Device Type,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(metadata.ss_type==='settlement-cell' || metadata.ss_type==='settlement-cell-dp'){
    return true;
} else {
    return false;
}"
Asentamiento Acumulado,Filter Device,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","return metadata.deviceName==""MC.VB-1"" || metadata.deviceName==""MC.VB-2"" || metadata.deviceName==""MC.VB-3"" || metadata.deviceName==""MC.VB-4"" || metadata.deviceName==""MC.VB-5"" || metadata.deviceName==""MC.VB-1'"" || metadata.deviceName==""MC.VB-2'"" || metadata.deviceName==""MC.VB-3'"" || metadata.deviceName==""MC.VB-4'"" || metadata.deviceName==""MC.VB-5'"" || metadata.deviceName==""MC.SA-1"" || metadata.deviceName==""MC.SA-2"" || metadata.deviceName==""MC.SA-3"" || metadata.deviceName==""MC.SA-5"" || metadata.deviceName==""MC.SA-6"" || metadata.deviceName==""MC.SA-7"" || metadata.deviceName==""MC.VB2-1A"" || metadata.deviceName==""MC.VB2-1B"" || metadata.deviceName==""MC.VB2-2A"" || metadata.deviceName==""MC.VB2-2B"" || metadata.deviceName==""MC.VB2-3A"" || metadata.deviceName==""MC.VB2-3B"" || metadata.deviceName==""MC.VB2-4A"" || metadata.deviceName==""MC.VB2-4B"" || metadata.deviceName==""MC.VB2-5A"" || metadata.deviceName==""MC.VB2-5B"" || metadata.deviceName==""MC.SA2-1""  || metadata.deviceName==""MC.SA2-2"" || metadata.deviceName==""MC.SA2-3"" || metadata.deviceName==""MC.SA2-4"" || metadata.deviceName==""MC.SA2-5"";"
Asentamiento Acumulado,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()


var horas=(fecha-parseFloat(metadata.ts))/3600000


if(horas<2){
    
    return true
}
else{
    
    return false
}"
Asentamiento Acumulado,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()


var horas=(fecha-parseFloat(metadata.ts))/3600000


if(horas<2){
    
    return true
}
else{
    
    return false
}"
BuoyRC,Condicion,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (msg.Altitud==""NAN""){
    return false
}
else{
    return true
}"
CE Tantahuay Alarmas,Filtro,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var umbral_max_ce=parseFloat(metadata.shared_max_ce)


if(parseFloat(msg.Conductividad)>umbral_max_ce){
    return true
}
else{
    return false
}"
CE Tantahuay Alarmas,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()


var horas=(fecha-parseFloat(metadata.ts))/3600000


if(horas<2){
    
    return true
}
else{
    
    return false
}"
CasagrandeRC,Validacion de tipo de dispositivo,TbJsFilterNode,not_alarm_shaped,,"chequeo de existencia (typeof) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (
(typeof metadata.deviceType !== 'undefined') && 
((metadata.deviceType == 'piez_level' || metadata.deviceType == 'casagrande')
))
{
return true;
} else {
return false;
}"
Celdas_Cuajone,Valida,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (msg.Freq == 'NaN' || msg.oriFreq== ""NaN"" || msg.Temp== ""NaN"" || msg.oriTemp== ""NaN"" || msg.Temp== ""NAN"") {
    return false;
} else {
    return true;
}"
Centinela Camposol Alarmas,Device,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe",return metadata.deviceName == 'CS.CELDA_7CR2_VW' || metadata.deviceName == 'CS.Celda_SA-01' ;
Centinela Camposol Alarmas,Umbral Texto,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(metadata.texto=='Vacio' ){
        return false
    }
    else{
        return true
    }"
Centinela Camposol Alarmas,Umbral Texto,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(metadata.texto=='Vacio' ){
        return false
    }
    else{
        return true
    }"
Centinela Camposol Alarmas,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()


var horas=(fecha-parseFloat(metadata.ts))/3600000


if(horas<1){
    
    return true
}
else{
    
    return false
}"
Empresa Alarmas,Buenaventura,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='BR'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Camposol,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='CS'){
    return true
}
else{
    return false
}"
Empresa Alarmas,El Toro,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='ET'){
    return true
}
else{
    return false
}"
Empresa Alarmas,G.P Coricancha,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='GP'){
    return true
}
else{
    return false
}"
Empresa Alarmas,GoldFields,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='GF'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Huaron,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='HU'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Kolpa,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='KO'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Metro_lima,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='ML'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Minsur,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='MS'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Pucamarca,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='PU'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Quebrada Honda,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='ST'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Raura,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='RA'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Tajo Mina,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='SJ'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Tambomayo,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='TB'){
    return true
}
else{
    return false
}"
Empresa Alarmas,Volcan,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='AL'){
    return true
}
else{
    return false
}"
ExtensometerOld,Filtra,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(msg.tipo=='reproceso'){
    return true   
}
else{
    return false 
}"
ExtensometerOld,Verifica cambio,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(msg.cambio){
  return true;  
}
else{
    return false
}"
ExtensometerRC,Is criteria valid?,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (msg.tipo == 'editando' || msg.origen == 'app') {
    return true;
} else {
    return false;
}"
ExtensometerRC,Is periodical to lineabase?,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","/*
// Verificamos que el metadata.ts sea igual tiempo que la lineabase (con diferente día).
function nextRelation(metadata) {
    var lineabase = metadata.shared_lineabase; // Ej: ""2025-06-17 18:00:00"".
    // Extraer hora y fecha de lineabase:
    var lbTime = lineabase.split(' ')[1]; // ""18:00:00"".
    var lbDate = lineabase.split(' ')[0]; // ""2025-06-17"".
    // Extraer hora y fecha por partes de ts:
    var tsMillis = parseInt(metadata.ts); // Ej: 3600000 milisegundos.
    var datetime = new Date(tsMillis - (5 * 3600000)); // UTC-5 local time.
    var year = datetime.getFullYear();
    var month = datetime.getMonth() + 1;
    var day = datetime.getDate();
    var hours = datetime.getHours();
    var minutes = datetime.getMinutes();
    var seconds = datetime.getSeconds();
    if (month < 10) { month = '0' + month.toString(); }
    else { month = month.toString(); }
    if (day < 10) { day = '0' + day.toString(); }
    else { day = day.toString(); }
    if (hours < 10) { hours = '0' + hours.toString(); }
    else { hours = hours.toString(); }
    if (minutes < 10) { minutes = '0' + minutes.toString(); }
    else { minutes = minutes.toString(); }
    if (seconds < 10) { seconds = '0' + seconds.toString(); }
    else { seconds = seconds.toString(); }
    var tsDate = year + '-' + month + '-' + day; // Para comparar con lbDate.
    var tsTime = hours + ':' + minutes + ':' + seconds;
    // Comparación principal:
    if (tsTime == lbTime && tsDate != lbDate) {
        // Corroborar con test function string param: 'ACTUAL: ' + tsDate + ' ' + tsTime + ' | LINEABASE: ' + lbDate + ' ' + lbTime + ' PASS ' + String(tsTime == lbTime) + ' ' + String(tsDate != lbDate
        return ['Yes'];
    } else {
        return ['No'];
    }
}

return nextRelation(metadata);
*/

return ['Yes']"
ExtensometerRC,What type of extensometer?,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","function nextRelation(metadata, msg) {
    var relation = ['none'];
    if (msg.hasOwnProperty('amperage')) {
        relation = ['Encoder'];
    } else if (msg.hasOwnProperty('laserDistance')) {
        relation = ['Laser'];
    }
    return relation;
}
return nextRelation(metadata, msg);"
Filtro Frecuencias,Switch type,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var frecuencia = msg.Freq;
if (frecuencia <= 12250 && frecuencia >= 2250) {
    var tipo = 'normal';
}
if (frecuencia > 12250) {
    var tipo = 'alta';
}
if (frecuencia < 2250) {
    var tipo = 'baja';
}
switch (tipo) {
    case 'normal':
        return ['normal'];
    case 'alta':
        return ['alta'];
    case 'baja':
        return ['baja'];
    default:
        return ['otro'];
}
/*
var frecuencia = msg.Freq;
if (frecuencia <= 3500 && frecuencia >= 1500) {
    var tipo = 'normal';
}
if (frecuencia > 3500) {
    var tipo = 'alta';
}
if (frecuencia < 1500) {
    var tipo = 'baja';
}
switch (tipo) {
    case 'normal':
        return ['normal'];
    case 'alta':
        return ['alta'];
    case 'baja':
        return ['baja'];
    default:
        return ['otro'];
}
*/"
Filtro NAN,Parameters Validation,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","/**
 * Validación del parámetro ""Freq"" proveniente del servidor de datos.
 */
if (msg.Freq === """" || msg.Freq === ""undefined"" || msg.Freq === ""NaN"" || msg.Freq === ""NAN"") {
    return ['Freq NaN'];
}
if (msg.Temp === """" || msg.Temp === ""undefined"" || msg.Temp === ""NaN"" || msg.Temp === ""NAN"") {
    return ['Temp NaN'];
}
return 'OK'"
Filtro Temperatura,Switch type,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var temp = msg.Temp;
if (temp <= 25 && temp >= 0) {
    var tipo = 'normal';
}
if (temp > 25) {
    var tipo = 'alta';
}
if (temp < 0) {
    var tipo = 'baja';
}
switch (tipo) {
    case 'normal':
        return ['normal'];
    case 'alta':
        return ['alta'];
    case 'baja':
        return ['baja'];
    default:
        return ['otro'];
}
/*
var frecuencia = msg.Freq;
if (frecuencia <= 3500 && frecuencia >= 1500) {
    var tipo = 'normal';
}
if (frecuencia > 3500) {
    var tipo = 'alta';
}
if (frecuencia < 1500) {
    var tipo = 'baja';
}
switch (tipo) {
    case 'normal':
        return ['normal'];
    case 'alta':
        return ['alta'];
    case 'baja':
        return ['baja'];
    default:
        return ['otro'];
}
*/"
Generate Report,If send email,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe",return msg.sendEmail === true;
Generate Report,If send email,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe",return msg.sendEmail === true;
GoldFields Alarmas,Script,TbJsFilterNode,simple_threshold,temperature gt 20 -> severity_sugerida=? (etiqueta legado: ?),,return msg.temperature > 20;
GoldFields Alarmas,Script,TbJsFilterNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.empresa=metadata.deviceName.substr(0,2);

if(msg.empresa=='GF'){
    return true
}
else{
    return false
}"
HydrometricRC,CMC Tantahuay,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (metadata.deviceName == ""Estacion E-1B"" || metadata.deviceName == ""Estacion E-2"" || metadata.deviceName == ""Estacion E-4"" || metadata.deviceName == ""Estacion E-5"" || metadata.deviceName == ""EstacionE1-B"") {
    return true;
} else {
    return false;
}"
HydrometricRC,Estacion E1,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (metadata.deviceName == ""TAMBO.Estación E-1"") {
    return true;
} else {
    return false;
}"
Inactividad,Inactividad,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (msg.active == false) {
   return false;
} else {
    return true;
}"
InclinacionRC,Script,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var data = metadata.deviceName;
data = String(data);
if (data.slice(0, 6) == ""RA.TR0"") {
    return true;
} else {
    return false;
}"
LevelRC,filtro,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()); comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(msg.texto!=""Vacio""){
    var lastTs = metadata.ss_last_alarm_ts ? parseFloat(metadata.ss_last_alarm_ts) : 0;
    var ahora  = new Date().getTime();
    return (ahora - lastTs) >= 86400000; // 24h en ms
}
else{
    return false
}"
Marcobre Alarmas Acelerografos,Revisión,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (metadata.umbral_texto != 'Sin alarma') {
    return true;
} else {
    return false;
}"
Marcobre Alarmas Acelerografos,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","// Fundamental para evitar bombardeo de correos (pruebas alternas a RC):
var fecha = new Date().getTime();
var horas = (fecha - parseFloat(metadata.ts)) / 3600000;
if (horas > 0 && horas < 2) {
    return true;
} else {
    return false;
}"
Marcobre Alarmas Inclinometros InPlace,Revisión,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var criteria = metadata.ss_nivel_critico;
var alerta = criteria < msg.maxValue ? 'Alto' : 'Sin alarma';
if (alerta !== 'Sin alarma' && alerta != metadata.umbral_texto) {
    return true;
} else {
    return false;
}"
Marcobre Alarmas Inclinometros InPlace,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","// Fundamental para evitar bombardeo de correos (pruebas alternas a RC):
var fecha = new Date().getTime();
var horas = (fecha - parseFloat(metadata.ts)) / 3600000;
if (horas > 0 && horas < 1) {
    return true;
} else {
    return false;
}"
NaN,NAN,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(msg.Freq==="""" || msg.Freq===""undefined"" || msg.Freq===""NaN"" || msg.Freq===""NAN""){
    return true
}
else{
    return false
}"
PH,BR.Estacion_Hydrometrica_Metales_3,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if(metadata.deviceName==""BR.Estacion_Hydrometrica_Metales_3""){
        return true
    }
    else{
        return false
    }"
PH,Script,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var max=metadata.ss_max;
var min=metadata.ss_min;

if(msg.wx_Ph> max){

    
    return true
    
}
if(msg.wx_Ph< min){
    
    
    
    return true
    
    
}

return false"
PH,date,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()


var horas=(fecha-parseFloat(metadata.ts))/3600000


if(horas<1){
    
    return true
}
else{
    
    return false
}"
PH Tantahuay Alarmas,Filtro,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var umbral_max_ph=parseFloat(metadata.shared_max_ph)
var umbral_min_ph=parseFloat(metadata.shared_min_ph)

if(parseFloat(msg.pH)>umbral_max_ph || parseFloat(msg.pH)<umbral_min_ph){
    return true
}
else{
    return false
}"
