Task Name,Task Description,Folder Name,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Etapa,Release,Depends On,Complejidad,Riesgo,Stream,Avance Objetivo %,Sprint,Mes Calendario,Tipo Metodologia
PoC: Mantenimiento de usuarios — Ejecutar pruebas en el prototipo,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Navegar el módulo en la app, registrar bugs, medir tiempos y validar flujos clave.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-E,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Mantenimiento de usuarios — Retroalimentación y cierre al 20%,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Acta PoC, lecciones aprendidas, lista de mejoras para Etapa 1 y confirmación 20% avance.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-F,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Entender necesidades y alcance,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Qué problema resuelve este módulo, quién lo usa en mina y qué significa tenerlo al 20%.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-A,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Investigar referencias y alternativas,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Revisar mercado, ThingsBoard, normativa minera y buenas prácticas similares.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-B,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Entrevistar usuarios y stakeholders,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Conversaciones con operaciones, geotecnia, TI, gerencia y mantenimiento.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-C,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Revisar fuentes del prototipo,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Código fuente, APIs, pantallas reales, documentación y datos de prueba existentes.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-D,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Ejecutar pruebas en el prototipo,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Navegar el módulo en la app, registrar bugs, medir tiempos y validar flujos clave.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-E,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Permisos y accesos por perfil — Retroalimentación y cierre al 20%,"MÓDULO DEL MENÚ: Permisos y accesos por perfil
Grupo: Mantenimiento

QUÉ HACE (en simple): Define quién puede ver cada menú: sensores, mapas, informes, administración.

ACTIVIDAD DE ESTA TAREA: Acta PoC, lecciones aprendidas, lista de mejoras para Etapa 1 y confirmación 20% avance.

Referencia técnica (prototipo): PermissionsManagementView, matriz gen_reports, niveles por módulo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M03-F,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Centro de Control [Live] — Entender necesidades y alcance,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Qué problema resuelve este módulo, quién lo usa en mina y qué significa tenerlo al 20%.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-A,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Centro de Control [Live] — Investigar referencias y alternativas,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Revisar mercado, ThingsBoard, normativa minera y buenas prácticas similares.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-B,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Centro de Control [Live] — Entrevistar usuarios y stakeholders,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Conversaciones con operaciones, geotecnia, TI, gerencia y mantenimiento.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-C,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Centro de Control [Live] — Revisar fuentes del prototipo,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Código fuente, APIs, pantallas reales, documentación y datos de prueba existentes.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-D,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Centro de Control [Live] — Ejecutar pruebas en el prototipo,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Navegar el módulo en la app, registrar bugs, medir tiempos y validar flujos clave.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-E,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Centro de Control [Live] — Retroalimentación y cierre al 20%,"MÓDULO DEL MENÚ: Centro de Control [Live]
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Tablero gerencial con indicadores de producción, KPIs y estado general de la mina.

ACTIVIDAD DE ESTA TAREA: Acta PoC, lecciones aprendidas, lista de mejoras para Etapa 1 y confirmación 20% avance.

Referencia técnica (prototipo): MiningDashboard, MiningWorkbenchHeader, /api/dashboard/metrics.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"GERENCIA,SENSORES,ARQUITECTURA,GESTION_PROYECTO",3,E0-M04-F,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Entender necesidades y alcance,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Qué problema resuelve este módulo, quién lo usa en mina y qué significa tenerlo al 20%.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-A,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Investigar referencias y alternativas,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Revisar mercado, ThingsBoard, normativa minera y buenas prácticas similares.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-B,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Entrevistar usuarios y stakeholders,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Conversaciones con operaciones, geotecnia, TI, gerencia y mantenimiento.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-C,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Revisar fuentes del prototipo,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Código fuente, APIs, pantallas reales, documentación y datos de prueba existentes.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-D,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Ejecutar pruebas en el prototipo,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Navegar el módulo en la app, registrar bugs, medir tiempos y validar flujos clave.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-E,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
PoC: Sensores de Mina — Retroalimentación y cierre al 20%,"MÓDULO DEL MENÚ: Sensores de Mina
Grupo: Monitoreo en tiempo real

QUÉ HACE (en simple): Lista y gráficos de sensores IoT: temperatura, vibración, presión en tiempo real.

ACTIVIDAD DE ESTA TAREA: Acta PoC, lecciones aprendidas, lista de mejoras para Etapa 1 y confirmación 20% avance.

Referencia técnica (prototipo): AdvancedSensors, WebSocket, index.poc.html, telemetría en vivo.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-09,2026-03-19,"SENSORES,INTEGRACION,ARQUITECTURA,GESTION_PROYECTO",3,E0-M05-F,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S2,Marzo,Por etapa
