Task Name,Task Description,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Release,Depends On,Complejidad,Riesgo,Stream,Ambiente,Sprint,Mes Calendario,Carga Mes Porcentaje,Tipo Metodologia
Auditoría final de cumplimiento arquitectura vs SOW y requisitos mineros,"Revisión formal de que la plataforma cumple arquitectura aprobada, requisitos del SOW, normativa minera y OWASP. Matriz de trazabilidad requisito→entregable. QA valida evidencias.",MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"ARQUITECTURA,DOCUMENTACION,CRITICO",31,ARQ-G12,"ARQ-Arquitecto TI / PMO, QA-Calidad (desde mes 2)",R6,ARQ-G06,Media,Alto,Arquitectura,Desarrollo,S12-S13,Noviembre,90.1,Agile — Desarrollo por Sprint
Auditoría de seguridad por sprint (revisión quincenal),"Revisión de seguridad recurrente cada sprint: nuevo código, nuevos endpoints, nuevas dependencias. Checklist OWASP, análisis de dependencias (CVE), revisión de secrets, validación de permisos.",MES2_JULIO_Core_Seguridad,Backlog,High,2026-07-01,2026-07-31,"SEGURIDAD,PRUEBAS_CALIDAD",49,BE2-S01,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), SYS-Infraestructura, BACKEND 1 — DBA / Arq. Datos y Core",R2,,Media,Alto,Backend,Desarrollo,S3-S5,Julio,90.0,Agile — Desarrollo por Sprint
Escaneo automatizado de vulnerabilidades en dependencias,"Configuración de escaneo automático de vulnerabilidades en dependencias C++ (vcpkg), Python (pip), JavaScript (npm). Integración en CI/CD. Alerta y bloqueo de builds con CVEs críticos.",MES2_JULIO_Core_Seguridad,Backlog,High,2026-07-01,2026-07-31,"SEGURIDAD,INFRAESTRUCTURA",31,BE2-S02,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R2,,Alta,Alto,Backend,Desarrollo,S3-S5,Julio,90.0,Agile — Desarrollo por Sprint
Proteccion contra ataques: filtro de datos maliciosos en formularios y editor,"Sistema centralizado que filtra y bloquea datos peligrosos que un atacante podria enviar al sistema: inyeccion de codigo en formularios, scripts maliciosos en el editor de informes, manipulacion de peticiones. Cada dato que entra al sistema pasa por este filtro antes de procesarse.",MES3_AGOSTO_UX_Sensores,Backlog,Urgent,2026-08-03,2026-08-31,"SEGURIDAD,DATOS,EDITOR_INFORMES",31,BE2-S05,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R3,,Alta,Alto,Backend,Desarrollo,S5-S7,Agosto,90.0,Agile — Desarrollo por Sprint
"Configuración de headers de seguridad HTTP (CORS, CSP, HSTS)","Implementación de todos los headers de seguridad: Content-Security-Policy, Strict-Transport-Security, X-Content-Type-Options, X-Frame-Options, CORS restrictivo. Configuración por ambiente.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-08-03,2026-08-31,"SEGURIDAD,INFRAESTRUCTURA",16,BE2-S06,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R3,,Media,Medio,Backend,Desarrollo,S5-S7,Agosto,90.0,Agile — Desarrollo por Sprint
Documentación de compliance minero y protección de datos personales,"Documentación de cumplimiento: política de privacidad, tratamiento de datos biométricos (ley de protección de datos Perú), retención de datos, acceso a información, derecho al olvido. Requerido por legal.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-09-01,2026-09-30,"SEGURIDAD,DOCUMENTACION",32,BE2-S07,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), ARQ-Arquitecto TI / PMO",R4,,Media,Alto,Backend,Desarrollo,S7-S9,Septiembre,96.1,Agile — Desarrollo por Sprint
Monitoreo de seguridad y alertas (SIEM básico),"Stack básico de SIEM: recolección de logs de seguridad, correlación de eventos, alertas de anomalías (múltiples intentos de login fallidos, acceso desde IP inusual, escalación de privilegios). Dashboard de seguridad.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-10-01,2026-11-02,"SEGURIDAD,INFRAESTRUCTURA",39,BE2-S09,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R5,,Alta,Alto,Backend,Desarrollo,S9-S12,Octubre,92.1,Agile — Desarrollo por Sprint
Hardening de contenedores Docker (security scanning),"Seguridad de contenedores: imagen base mínima (distroless), escaneo de imágenes (Trivy), no root, read-only filesystem, seccomp profiles, network policies. Checklist de seguridad por contenedor.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-11-02,2026-11-16,"SEGURIDAD,INFRAESTRUCTURA",31,BE2-S10,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R5,,Alta,Alto,Backend,Desarrollo,S12-S13,Octubre,90.0,Agile — Desarrollo por Sprint
Playbook de respuesta a incidentes de seguridad,"Documento operativo: qué hacer en caso de brecha de seguridad, acceso no autorizado, ransomware, DDoS. Roles, contactos, pasos de contención, comunicación, evidencia forense. Simulacro incluido.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-09-30,"SEGURIDAD,INFRAESTRUCTURA,DOCUMENTACION",24,BE2-S11,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), ARQ-Arquitecto TI / PMO",R5,,Media,Alto,Backend,Desarrollo,S9,Octubre,96.1,Agile — Desarrollo por Sprint
Encriptación de backups y verificación de integridad,Todos los backups se encriptan con AES-256-GCM antes del almacenamiento. Verificación de integridad con SHA-256 checksums. Testing mensual de restauración desde backup encriptado. Chain of custody documentada.,MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-11-16,"SEGURIDAD,INFRAESTRUCTURA",19,BE2-S12,"BACKEND 1 — DBA / Arq. Datos y Core, BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)",R5,,Alta,Alto,Backend,Desarrollo,S9-S13,Octubre,90.0,Agile — Desarrollo por Sprint
Capacitación de seguridad al equipo de desarrollo,"Sesión de capacitación sobre desarrollo seguro: OWASP Top 10, manejo seguro de secrets, revisión de código seguro, principio de mínimo privilegio. 2 sesiones de 4h para todo el equipo.",MES5_OCTUBRE_Optimizacion,Backlog,Normal,2026-11-02,2026-11-16,"SEGURIDAD,DOCUMENTACION",16,BE2-S13,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R5,,Baja,Bajo,Backend,Desarrollo,S12-S13,Octubre,90.0,Agile — Desarrollo por Sprint
Testing de recuperación ante ataques simulados,"Simulacros controlados de seguridad: ataque de saturacion simulado (verificar proteccion contra sobrecarga), intento de inyeccion de codigo (verificar filtros de seguridad), intento de acceso no autorizado (verificar permisos por rol), acceso con credenciales comprometidas (verificar bloqueo automatico).",MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"SEGURIDAD,PRUEBAS_CALIDAD",31,BE2-S14,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), QA-Calidad (desde mes 2)",R6,BE2-S11,Alta,Alto,Backend,Desarrollo,S12-S13,Noviembre,90.0,Agile — Desarrollo por Sprint
Auditoría de seguridad final pre-GoLive,"Auditoría de seguridad completa antes del lanzamiento: pentesting externo, revisión de configuraciones, verificación de encriptación, validación de permisos, escaneo de vulnerabilidades final. Go/NoGo de seguridad.",MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"SEGURIDAD,CRITICO",32,BE2-S15,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), ARQ-Arquitecto TI / PMO",R6,,Alta,Alto,Backend,Desarrollo,S12-S13,Noviembre,90.0,Agile — Desarrollo por Sprint
Gestión segura de secretos y credenciales (HashiCorp Vault),"Implementación de vault para gestión centralizada de secretos: API keys, contraseñas de BD, certificados. Acceso por políticas, rotación automática, auditoría de accesos. Eliminación de secrets en código/configs.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-08-03,"SEGURIDAD,INFRAESTRUCTURA",31,BE2-S16,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R3,,Alta,Alto,Backend,Desarrollo,S5,Agosto,90.0,Agile — Desarrollo por Sprint
Revision de seguridad de servicios de terceros integrados,"Auditoria de seguridad de cada servicio externo integrado (SMS gateway, servicios de correo, APIs de notificacion): verificar autenticacion, cifrado en transito, validacion de certificados, manejo de tokens, tiempos de espera. Documentar riesgos de cada integracion.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"SEGURIDAD,INTEGRACION",32,BE2-S17,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), BACKEND 3 — Integraciones",R4,,Alta,Alto,Backend,Desarrollo,S7-S9,Septiembre,90.0,Agile — Desarrollo por Sprint
Testing de penetración interno (preparación pre-auditoría),"Pentesting interno usando herramientas automatizadas (OWASP ZAP, Burp Suite): escaneo de endpoints, fuzzing de inputs, testing de autenticación/autorización, análisis de cookies/tokens. Reporte con hallazgos.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-09-30,"SEGURIDAD,PRUEBAS_CALIDAD",39,BE2-S18,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R5,,Alta,Alto,Backend,Desarrollo,S9,Octubre,96.1,Agile — Desarrollo por Sprint
Monitoreo de seguridad en producción durante marcha blanca,"Vigilancia activa de seguridad durante las primeras semanas en produccion: revision de registros de acceso, deteccion de patrones anomalos, verificacion de limites de peticiones, validacion de controles de acceso activos.",MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"SEGURIDAD,PRODUCCION",46,BE2-S19,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), SYS-Infraestructura, QA-Calidad (desde mes 2)",R6,,Media,Alto,Backend,Desarrollo,S12-S13,Noviembre,90.0,Agile — Desarrollo por Sprint
Monitoreo de salud de integraciones (health dashboard),"Dashboard de monitoreo que muestra el estado de cada integración: API legacy (up/down/degraded), Kafka (lag, throughput), ETL (última ejecución, errores), WebSocket (conexiones activas). Alertas automáticas.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-08-03,"INTEGRACION,INFRAESTRUCTURA",32,BE3-I02,BACKEND 3 — Integraciones,R3,,Alta,Medio,Backend,Desarrollo,S5,Agosto,98.9,Agile — Desarrollo por Sprint
Sistema centralizado de deteccion y alerta de errores del sistema,"Herramienta que captura automaticamente cualquier error que ocurra en el servidor o en la pantalla de los usuarios. Los errores se agrupan por tipo, se muestra donde ocurrieron, y se envia alerta automatica al equipo de desarrollo. Panel de control con lista de errores ordenados por gravedad.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-08-03,2026-08-31,"INTEGRACION,INFRAESTRUCTURA",32,BE3-I03,BACKEND 3 — Integraciones,R3,,Alta,Medio,Backend,Desarrollo,S5-S7,Agosto,91.6,Agile — Desarrollo por Sprint
Agregación centralizada de logs (ELK/Loki),"Stack de logs centralizado: recolección de logs de todos los servicios (backend, frontend, DB, Kafka), almacenamiento centralizado, búsqueda, correlación por request-id. Retención 30 días. Dashboard en Grafana.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-08-31,"INTEGRACION,INFRAESTRUCTURA",39,BE3-I04,"BACKEND 3 — Integraciones, SYS-Infraestructura",R3,,Alta,Medio,Backend,Desarrollo,S5-S7,Agosto,98.9,Agile — Desarrollo por Sprint
Proteccion contra fallas de servicios externos: reintento automatico y desconexion temporal,"Cuando un servicio externo falla (SMS, email, sistema antiguo), el sistema reintenta automaticamente con tiempos de espera crecientes. Si el servicio sigue fallando, el sistema se desconecta temporalmente para no bloquearse y sigue funcionando con el resto de funcionalidades.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-09-01,2026-09-30,"INTEGRACION,DATOS",24,BE3-I09,BACKEND 3 — Integraciones,R4,,Alta,Alto,Backend,Desarrollo,S7-S9,Septiembre,93.1,Agile — Desarrollo por Sprint
Testing de integraciones end-to-end con datos reales,"Pruebas completas de cada integracion con datos reales del ambiente de pruebas: proceso completo de carga de datos, sincronizacion con sistema antiguo ida y vuelta, notificaciones, exportacion de informes. Verificacion de integridad de datos.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-11-02,"INTEGRACION,PRUEBAS_CALIDAD",31,BE3-I10,"BACKEND 3 — Integraciones, QA-Calidad (desde mes 2)",R5,,Alta,Alto,Backend,Desarrollo,S9-S12,Octubre,93.1,Agile — Desarrollo por Sprint
"Monitoreo de Kafka/Redpanda: lag, throughput, particiones","Dashboard de monitoreo del message broker: consumer lag por topic, throughput (msgs/s), estado de particiones, disk usage, replication status. Alertas por lag excesivo (>1000 msgs).",MES5_OCTUBRE_Optimizacion,Backlog,Normal,2026-11-02,2026-11-16,"INTEGRACION,SENSORES,INFRAESTRUCTURA",24,BE3-I11,BACKEND 3 — Integraciones,R5,,Media,Medio,Backend,Desarrollo,S12-S13,Octubre,90.0,Agile — Desarrollo por Sprint
Verificación de integridad de sincronización de datos,"Proceso automatizado de verificación: comparar datos entre sistema legacy y plataforma nueva, detectar discrepancias, generar reporte de diferencias. Ejecutar antes de cada release y durante marcha blanca.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-10-01,2026-11-16,"INTEGRACION,PRUEBAS_CALIDAD,DATOS",31,BE3-I12,"BACKEND 3 — Integraciones, QA-Calidad (desde mes 2)",R5,,Alta,Alto,Backend,Desarrollo,S9-S13,Octubre,98.1,Agile — Desarrollo por Sprint
Servicio de rate limiting por tenant y por endpoint,"Control de tráfico por API: límites de peticiones por tenant (1000 req/min), por endpoint (100 req/min para exportaciones), por usuario. Respuesta 429 con retry-after. Dashboard de consumo de API.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-09-30,"INTEGRACION,SEGURIDAD,DATOS",32,BE3-I13,BACKEND 3 — Integraciones,R5,,Alta,Medio,Backend,Desarrollo,S9,Octubre,93.1,Agile — Desarrollo por Sprint
ARQ-Arquitecto TI / PMO — Carga Junio 2026 (97.9%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Junio 2026
Horas planificadas: 174.8h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 97.9% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Junio.",Capacidad_Recursos,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,CAPACIDAD",174,CAP-ARQ-M06,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S1-S3,Junio,97.9,PMO — Capacidad
ARQ-Arquitecto TI / PMO — Carga Julio 2026 (94.3%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Julio 2026
Horas planificadas: 160.3h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 94.3% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Julio.",Capacidad_Recursos,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,CAPACIDAD",160,CAP-ARQ-M07,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,94.3,PMO — Capacidad
ARQ-Arquitecto TI / PMO — Carga Agosto 2026 (91.6%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Agosto 2026
Horas planificadas: 155.7h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 91.6% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Agosto.",Capacidad_Recursos,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,CAPACIDAD",155,CAP-ARQ-M08,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S5-S7,Agosto,91.6,PMO — Capacidad
ARQ-Arquitecto TI / PMO — Carga Septiembre 2026 (96.1%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Septiembre 2026
Horas planificadas: 179.8h de 187.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 96.1% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Septiembre.",Capacidad_Recursos,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,CAPACIDAD",179,CAP-ARQ-M09,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S7-S9,Septiembre,96.1,PMO — Capacidad
ARQ-Arquitecto TI / PMO — Carga Octubre 2026 (91.6%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Octubre 2026
Horas planificadas: 163.5h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 91.6% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Octubre.",Capacidad_Recursos,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,CAPACIDAD",163,CAP-ARQ-M10,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S9-S12,Octubre,91.6,PMO — Capacidad
ARQ-Arquitecto TI / PMO — Carga Noviembre 2026 (90.1%),"PANEL DE CAPACIDAD MENSUAL
Recurso: ARQ-Arquitecto TI / PMO
Mes: Noviembre 2026
Horas planificadas: 160.9h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 90.1% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a ARQ-Arquitecto TI / PMO en Noviembre.",Capacidad_Recursos,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,CAPACIDAD",160,CAP-ARQ-M11,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S12-S13,Noviembre,90.1,PMO — Capacidad
BACKEND 1 — DBA / Arq. Datos y Core — Carga Junio 2026 (99.7%),"PANEL DE CAPACIDAD MENSUAL
Recurso: BACKEND 1 — DBA / Arq. Datos y Core
Mes: Junio 2026
Horas planificadas: 178.0h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 99.7% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a BACKEND 1 — DBA / Arq. Datos y Core en Junio.",Capacidad_Recursos,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,CAPACIDAD",178,CAP-BE1-M06,BACKEND 1 — DBA / Arq. Datos y Core,R1,,Baja,Bajo,Backend Core,Desarrollo,S1-S3,Junio,99.7,PMO — Capacidad
BACKEND 1 — DBA / Arq. Datos y Core — Carga Julio 2026 (100.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: BACKEND 1 — DBA / Arq. Datos y Core
Mes: Julio 2026
Horas planificadas: 170.0h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 100.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a BACKEND 1 — DBA / Arq. Datos y Core en Julio.",Capacidad_Recursos,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,CAPACIDAD",170,CAP-BE1-M07,BACKEND 1 — DBA / Arq. Datos y Core,R1,,Baja,Bajo,Backend Core,Desarrollo,S3-S5,Julio,100.0,PMO — Capacidad
BACKEND 1 — DBA / Arq. Datos y Core — Carga Agosto 2026 (99.3%),"PANEL DE CAPACIDAD MENSUAL
Recurso: BACKEND 1 — DBA / Arq. Datos y Core
Mes: Agosto 2026
Horas planificadas: 168.8h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 99.3% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a BACKEND 1 — DBA / Arq. Datos y Core en Agosto.",Capacidad_Recursos,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,CAPACIDAD",168,CAP-BE1-M08,BACKEND 1 — DBA / Arq. Datos y Core,R1,,Baja,Bajo,Backend Core,Desarrollo,S5-S7,Agosto,99.3,PMO — Capacidad
BACKEND 1 — DBA / Arq. Datos y Core — Carga Septiembre 2026 (90.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: BACKEND 1 — DBA / Arq. Datos y Core
Mes: Septiembre 2026
Horas planificadas: 168.3h de 187.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 90.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a BACKEND 1 — DBA / Arq. Datos y Core en Septiembre.",Capacidad_Recursos,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,CAPACIDAD",168,CAP-BE1-M09,BACKEND 1 — DBA / Arq. Datos y Core,R1,,Baja,Bajo,Backend Core,Desarrollo,S7-S9,Septiembre,90.0,PMO — Capacidad
